"id","name","quality","level","required_level","item_class","item_subclass","inventory_type","preview_item"
"1486","Tree Bark Jacket","RARE","24","19","Armor","Cloth","CHEST",""
"1488","Avenger's Armor","RARE","31","26","Armor","Mail","CHEST",""
"1489","Gloomshroud Armor","RARE","25","20","Armor","Leather","CHEST",""
"1491","Ring of Precision","RARE","25","20","Armor","Miscellaneous","FINGER",""
"1493","Heavy Marauder Scimitar","RARE","27","22","Weapon","Sword","WEAPON",""
"1602","Sickle Axe","RARE","39","34","Weapon","Axe","WEAPON",""
"1607","Soulkeeper","RARE","54","49","Weapon","Staff","TWOHWEAPON",""
"1678","Black Ogre Kickers","RARE","37","32","Armor","Mail","FEET",""
"1713","Ankh of Life","RARE","45","40","Armor","Miscellaneous","TRINKET",""
"1714","Necklace of Calisea","RARE","43","38","Armor","Miscellaneous","NECK",""
"1715","Polished Jazeraint Armor","RARE","44","39","Armor","Mail","CHEST",""
"1716","Robe of the Magi","RARE","40","35","Armor","Cloth","ROBE",""
"1717","Double Link Tunic","RARE","30","25","Armor","Mail","CHEST",""
"1718","Basilisk Hide Pants","RARE","43","38","Armor","Leather","LEGS",""
"1720","Tanglewood Staff","RARE","46","41","Weapon","Staff","TWOHWEAPON",""
"1721","Viking Warhammer","RARE","54","49","Weapon","Mace","WEAPON",""
"1722","Thornstone Sledgehammer","RARE","42","37","Weapon","Mace","TWOHWEAPON",""
"1726","Poison-tipped Bone Spear","RARE","36","31","Weapon","Polearm","TWOHWEAPON",""
"1727","Sword of Decay","RARE","28","23","Weapon","Sword","WEAPON",""
"1728","Teebu's Blazing Longsword","EPIC","65","60","Weapon","Sword","WEAPON",""
"1935","Assassin's Blade","RARE","24","19","Weapon","Dagger","WEAPON",""
"1937","Buzz Saw","RARE","21","16","Weapon","Sword","WEAPON",""
"1973","Orb of Deception","RARE","59","54","Armor","Miscellaneous","TRINKET",""
"1974","Mindthrust Bracers","RARE","22","17","Armor","Cloth","WRIST",""
"1975","Pysan's Old Greatsword","RARE","28","23","Weapon","Sword","TWOHWEAPON",""
"1976","Slaghammer","RARE","29","24","Weapon","Mace","TWOHWEAPON",""
"1978","Wolfclaw Gloves","RARE","27","22","Armor","Leather","HAND",""
"1979","Wall of the Dead","EPIC","50","45","Armor","Shield","SHIELD",""
"1980","Underworld Band","EPIC","43","38","Armor","Miscellaneous","FINGER",""
"1981","Icemail Jerkin","EPIC","44","39","Armor","Mail","CHEST",""
"1982","Nightblade","EPIC","44","39","Weapon","Sword","TWOHWEAPON",""
"1992","Swampchill Fetish","RARE","38","33","Armor","Miscellaneous","HOLDABLE",""
"2011","Twisted Sabre","RARE","26","21","Weapon","Sword","WEAPON",""
"2039","Plains Ring","RARE","29","24","Armor","Miscellaneous","FINGER",""
"2040","Troll Protector","RARE","48","43","Armor","Shield","SHIELD",""
"2041","Tunic of Westfall","RARE","24","0","Armor","Leather","CHEST",""
"2042","Staff of Westfall","RARE","24","0","Weapon","Staff","TWOHWEAPON",""
"2043","Ring of Forlorn Spirits","RARE","35","0","Armor","Miscellaneous","FINGER",""
"2044","Crescent of Forlorn Spirits","RARE","35","0","Weapon","Axe","WEAPON",""
"2059","Sentry Cloak","RARE","24","19","Armor","Cloth","CLOAK",""
"2098","Double-barreled Shotgun","RARE","27","22","Weapon","Gun","RANGEDRIGHT",""
"2099","Dwarven Hand Cannon","EPIC","58","53","Weapon","Gun","RANGEDRIGHT",""
"2100","Precisely Calibrated Boomstick","EPIC","48","43","Weapon","Gun","RANGEDRIGHT",""
"2163","Shadowblade","EPIC","53","48","Weapon","Dagger","WEAPON",""
"2164","Gut Ripper","EPIC","45","40","Weapon","Dagger","WEAPON",""
"2169","Buzzer Blade","RARE","21","16","Weapon","Dagger","WEAPON",""
"2189","Tigole's Boomstick (TEST)","ARTIFACT","100","95","Weapon","Mace","WEAPONMAINHAND",""
"2194","Diamond Hammer","RARE","25","20","Weapon","Mace","WEAPON",""
"2205","Duskbringer","RARE","25","20","Weapon","Sword","TWOHWEAPON",""
"2236","Blackfang","RARE","25","20","Weapon","Dagger","WEAPON",""
"2243","Hand of Edward the Odd","EPIC","62","57","Weapon","Mace","WEAPON",""
"2244","Krol Blade","EPIC","56","51","Weapon","Sword","WEAPON",""
"2245","Helm of Narv","EPIC","59","54","Armor","Mail","HEAD",""
"2246","Myrmidon's Signet","EPIC","58","53","Armor","Miscellaneous","FINGER",""
"2256","Skeletal Club","RARE","24","19","Weapon","Mace","WEAPON",""
"2262","Mark of Kern","RARE","36","31","Armor","Miscellaneous","FINGER",""
"2264","Mantle of Thieves","RARE","30","25","Armor","Leather","SHOULDER",""
"2271","Staff of the Blessed Seer","RARE","23","18","Weapon","Staff","TWOHWEAPON",""
"2276","Swampwalker Boots","RARE","37","32","Armor","Leather","FEET",""
"2277","Necromancer Leggings","RARE","35","30","Armor","Cloth","LEGS",""
"2278","Forest Tracker Epaulets","RARE","31","26","Armor","Leather","SHOULDER",""
"2280","Kam's Walking Stick","RARE","27","22","Weapon","Staff","TWOHWEAPON",""
"2291","Kang the Decapitator","EPIC","49","44","Weapon","Axe","TWOHWEAPON",""
"2292","Necrology Robes","RARE","25","20","Armor","Cloth","ROBE",""
"2299","Burning War Axe","RARE","33","28","Weapon","Axe","TWOHWEAPON",""
"2549","Staff of the Shade","RARE","27","22","Weapon","Staff","TWOHWEAPON",""
"2564","Elven Spirit Claws","RARE","50","45","Armor","Leather","HAND",""
"2565","Rod of Molten Fire","RARE","35","30","Armor","Miscellaneous","HOLDABLE",""
"2567","Evocator's Blade","RARE","23","18","Weapon","Dagger","WEAPON",""
"2721","Holy Shroud","RARE","32","27","Armor","Cloth","HEAD",""
"2800","Black Velvet Robes","RARE","26","21","Armor","Cloth","ROBE",""
"2801","Blade of Hanna","EPIC","64","59","Weapon","Sword","TWOHWEAPON",""
"2802","Blazing Emblem","RARE","43","38","Armor","Miscellaneous","TRINKET",""
"2807","Guillotine Axe","RARE","23","18","Weapon","Axe","WEAPON",""
"2815","Curve-bladed Ripper","RARE","45","40","Weapon","Axe","WEAPON",""
"2816","Death Speaker Scepter","RARE","33","27","Weapon","Mace","WEAPONMAINHAND",""
"2824","Hurricane","EPIC","53","48","Weapon","Bow","RANGED",""
"2825","Bow of Searing Arrows","EPIC","42","37","Weapon","Bow","RANGED",""
"2870","Shining Silver Breastplate","RARE","29","24","Armor","Mail","CHEST",""
"2877","Combatant Claymore","RARE","33","28","Weapon","Sword","TWOHWEAPON",""
"2878","Bearded Boneaxe","RARE","30","25","Weapon","Axe","WEAPON",""
"2879","Antipodean Rod","RARE","22","17","Armor","Miscellaneous","HOLDABLE",""
"2911","Keller's Girdle","RARE","23","18","Armor","Cloth","WAIST",""
"2912","Claw of the Shadowmancer","RARE","32","27","Weapon","Dagger","WEAPON",""
"2915","Taran Icebreaker","EPIC","52","47","Weapon","Mace","TWOHWEAPON",""
"2933","Seal of Wrynn","RARE","31","0","Armor","Miscellaneous","FINGER",""
"2941","Prison Shank","RARE","26","21","Weapon","Dagger","WEAPON",""
"2942","Iron Knuckles","RARE","26","21","Weapon","Fist Weapon","WEAPON",""
"2951","Ring of the Underwood","RARE","36","31","Armor","Miscellaneous","FINGER",""
"3020","Enduring Cap","RARE","33","28","Armor","Leather","HEAD",""
"3021","Ranger Bow","RARE","25","20","Weapon","Bow","RANGED",""
"3075","Eye of Flame","EPIC","55","49","Armor","Cloth","HEAD",""
"3078","Naga Heartpiercer","RARE","26","21","Weapon","Bow","RANGED",""
"3191","Arced War Axe","RARE","26","20","Weapon","Axe","TWOHWEAPON",""
"3194","Black Malice","RARE","21","16","Weapon","Mace","TWOHWEAPON",""
"3203","Dense Triangle Mace","RARE","28","23","Weapon","Mace","TWOHWEAPON",""
"3228","Jimmied Handcuffs","RARE","26","21","Armor","Mail","WRIST",""
"3230","Black Wolf Bracers","RARE","26","20","Armor","Leather","WRIST",""
"3413","Doomspike","RARE","25","20","Weapon","Dagger","WEAPON",""
"3414","Crested Scepter","RARE","27","22","Weapon","Mace","WEAPON",""
"3415","Staff of the Friar","RARE","24","19","Weapon","Staff","TWOHWEAPON",""
"3416","Martyr's Chain","RARE","26","21","Armor","Mail","CHEST",""
"3417","Onyx Claymore","RARE","26","21","Weapon","Sword","TWOHWEAPON",""
"3475","Cloak of Flames","EPIC","65","60","Armor","Cloth","CLOAK",""
"3748","Feline Mantle","RARE","28","23","Armor","Cloth","SHOULDER",""
"3844","Green Iron Hauberk","RARE","36","31","Armor","Mail","CHEST",""
"3895","TEST Legendary","LEGENDARY","30","25","Weapon","Axe","WEAPONMAINHAND",""
"4090","Mug O' Hurt","RARE","46","41","Weapon","Mace","WEAPON",""
"4091","Widowmaker","RARE","47","42","Weapon","Dagger","WEAPON",""
"4120","Robe of Crystal Waters","RARE","40","0","Armor","Cloth","ROBE",""
"4134","Nimboya's Mystical Staff","RARE","46","0","Weapon","Staff","TWOHWEAPON",""
"4197","Berylline Pads","RARE","36","0","Armor","Cloth","SHOULDER",""
"4253","Toughened Leather Gloves","RARE","27","22","Armor","Leather","HAND",""
"4262","Gem-studded Leather Belt","RARE","37","32","Armor","Leather","WAIST",""
"4320","Spidersilk Boots","RARE","25","20","Armor","Cloth","FEET",""
"4327","Icy Cloak","RARE","40","35","Armor","Cloth","CLOAK",""
"4438","Pugilist Bracers","RARE","30","25","Armor","Mail","WRIST",""
"4446","Blackvenom Blade","RARE","26","21","Weapon","Dagger","WEAPON",""
"4454","Talon of Vultros","RARE","26","21","Weapon","Dagger","WEAPON",""
"4507","Pit Fighter's Shield","RARE","42","0","Armor","Shield","SHIELD",""
"4508","Blood-tinged Armor","RARE","42","0","Armor","Mail","CHEST",""
"4696","Lapidis Tankard of Tidesippe","RARE","59","54","Armor","Miscellaneous","HOLDABLE",""
"4743","Pulsating Crystalline Shard","RARE","50","0","Armor","Miscellaneous","NECK",""
"4975","Vigilant Buckler","RARE","39","0","Armor","Shield","SHIELD",""
"5183","Pulsating Hydra Heart","RARE","20","15","Armor","Miscellaneous","HOLDABLE",""
"5187","Rhahk'Zor's Hammer","RARE","20","15","Weapon","Mace","TWOHWEAPON",""
"5191","Cruel Barb","RARE","24","19","Weapon","Sword","WEAPON",""
"5192","Thief's Blade","RARE","22","17","Weapon","Sword","WEAPON",""
"5193","Cape of the Brotherhood","RARE","25","20","Armor","Cloth","CLOAK",""
"5194","Taskmaster Axe","RARE","23","18","Weapon","Axe","TWOHWEAPON",""
"5195","Gold-flecked Gloves","RARE","22","17","Armor","Cloth","HAND",""
"5196","Smite's Reaver","RARE","22","17","Weapon","Axe","WEAPON",""
"5197","Cookie's Tenderizer","RARE","21","16","Weapon","Mace","WEAPON",""
"5198","Cookie's Stirring Rod","RARE","22","17","Weapon","Wand","RANGEDRIGHT",""
"5199","Smelting Pants","RARE","21","16","Armor","Leather","LEGS",""
"5200","Impaling Harpoon","RARE","22","20","Weapon","Polearm","TWOHWEAPON",""
"5201","Emberstone Staff","RARE","23","18","Weapon","Staff","TWOHWEAPON",""
"5202","Corsair's Overshirt","RARE","24","19","Armor","Cloth","CHEST",""
"5243","Firebelcher","RARE","20","15","Weapon","Wand","RANGEDRIGHT",""
"5254","Rugged Spaulders","RARE","20","15","Armor","Leather","SHOULDER",""
"5257","Dark Hooded Cape","RARE","37","32","Armor","Cloth","CLOAK",""
"5266","Eye of Adaegus","RARE","53","48","Armor","Miscellaneous","FINGER",""
"5267","Scarlet Kris","RARE","63","58","Weapon","Dagger","WEAPON",""
"5404","Serpent's Shoulders","RARE","23","18","Armor","Leather","SHOULDER",""
"5423","Boahn's Fang","RARE","20","15","Weapon","Axe","TWOHWEAPON",""
"5425","Runescale Girdle","RARE","20","15","Armor","Mail","WAIST",""
"5426","Serpent's Kiss","RARE","20","15","Weapon","Axe","WEAPON",""
"5443","Gold-plated Buckler","RARE","20","15","Armor","Shield","SHIELD",""
"5444","Miner's Cape","RARE","19","14","Armor","Cloth","CLOAK",""
"5616","Gutwrencher","RARE","47","42","Weapon","Dagger","WEAPON",""
"5756","Sliverblade","RARE","37","32","Weapon","Dagger","WEAPON",""
"5819","Sunblaze Coif","RARE","33","28","Armor","Mail","HEAD",""
"5828","Ring of Uber Resists (TEST)","ARTIFACT","1","1","Armor","Miscellaneous","FINGER",""
"5943","Rift Bracers","RARE","25","20","Armor","Mail","WRIST",""
"5970","Serpent Gloves","RARE","23","18","Armor","Cloth","HAND",""
"6087","Chausses of Westfall","RARE","24","0","Armor","Mail","LEGS",""
"6220","Meteor Shard","RARE","29","20","Weapon","Dagger","WEAPON",""
"6226","Bloody Apron","RARE","23","18","Armor","Cloth","ROBE",""
"6314","Wolfmaster Cape","RARE","27","20","Armor","Cloth","CLOAK",""
"6318","Odo's Ley Staff","RARE","26","21","Weapon","Staff","TWOHWEAPON",""
"6319","Girdle of the Blindwatcher","RARE","26","19","Armor","Leather","WAIST",""
"6320","Commander's Crest","RARE","28","20","Armor","Shield","SHIELD",""
"6321","Silverlaine's Family Seal","RARE","26","21","Armor","Miscellaneous","FINGER",""
"6323","Baron's Scepter","RARE","25","20","Weapon","Mace","WEAPON",""
"6324","Robes of Arugal","RARE","29","20","Armor","Cloth","ROBE",""
"6327","The Pacifier","RARE","37","32","Weapon","Mace","TWOHWEAPON",""
"6331","Howling Blade","RARE","36","31","Weapon","Dagger","WEAPON",""
"6332","Black Pearl Ring","RARE","22","17","Armor","Miscellaneous","FINGER",""
"6340","Fenrus' Hide","RARE","26","20","Armor","Cloth","CLOAK",""
"6341","Eerie Stable Lantern","RARE","19","14","Armor","Miscellaneous","HOLDABLE",""
"6392","Belt of Arugal","RARE","29","20","Armor","Cloth","WAIST",""
"6414","Seal of Sylvanas","RARE","29","0","Armor","Miscellaneous","FINGER",""
"6440","Brainlash","RARE","48","43","Armor","Miscellaneous","FINGER",""
"6447","Worn Turtle Shell Shield","RARE","20","15","Armor","Shield","SHIELD",""
"6448","Tail Spike","RARE","22","17","Weapon","Dagger","WEAPON",""
"6449","Glowing Lizardscale Cloak","RARE","22","17","Armor","Cloth","CLOAK",""
"6459","Savage Trodders","RARE","23","18","Armor","Mail","FEET",""
"6460","Cobrahn's Grasp","RARE","24","19","Armor","Mail","WAIST",""
"6461","Slime-encrusted Pads","RARE","27","20","Armor","Cloth","SHOULDER",""
"6463","Deep Fathom Ring","RARE","26","20","Armor","Miscellaneous","FINGER",""
"6465","Robe of the Moccasin","RARE","22","17","Armor","Cloth","ROBE",""
"6468","Deviate Scale Belt","RARE","23","18","Armor","Leather","WAIST",""
"6469","Venomstrike","RARE","24","19","Weapon","Bow","RANGED",""
"6472","Stinging Viper","RARE","24","19","Weapon","Mace","WEAPON",""
"6473","Armor of the Fang","RARE","23","18","Armor","Leather","CHEST",""
"6504","Wingblade","RARE","24","0","Weapon","Sword","WEAPON",""
"6505","Crescent Staff","RARE","24","0","Weapon","Staff","TWOHWEAPON",""
"6622","Sword of Zeal","RARE","63","58","Weapon","Sword","WEAPON",""
"6627","Mutant Scale Breastplate","RARE","28","20","Armor","Mail","CHEST",""
"6629","Sporid Cape","RARE","23","18","Armor","Cloth","CLOAK",""
"6630","Seedcloud Buckler","RARE","25","20","Armor","Shield","SHIELD",""
"6631","Living Root","RARE","25","20","Weapon","Staff","TWOHWEAPON",""
"6632","Feyscale Cloak","RARE","20","15","Armor","Cloth","CLOAK",""
"6633","Butcher's Slicer","RARE","23","18","Weapon","Sword","WEAPON",""
"6641","Haunting Blade","RARE","26","20","Weapon","Sword","TWOHWEAPON",""
"6642","Phantom Armor","RARE","25","20","Armor","Mail","CHEST",""
"6660","Julie's Dagger","RARE","55","50","Weapon","Dagger","WEAPON",""
"6679","Armor Piercer","RARE","29","24","Weapon","Polearm","TWOHWEAPON",""
"6681","Thornspike","RARE","32","27","Weapon","Dagger","WEAPON",""
"6682","Death Speaker Robes","RARE","31","26","Armor","Cloth","ROBE",""
"6685","Death Speaker Mantle","RARE","30","25","Armor","Cloth","SHOULDER",""
"6686","Tusken Helm","RARE","33","27","Armor","Mail","HEAD",""
"6687","Corpsemaker","RARE","34","27","Weapon","Axe","TWOHWEAPON",""
"6688","Whisperwind Headdress","RARE","32","27","Armor","Leather","HEAD",""
"6689","Wind Spirit Staff","RARE","32","27","Weapon","Staff","TWOHWEAPON",""
"6690","Ferine Leggings","RARE","34","29","Armor","Leather","LEGS",""
"6691","Swinetusk Shank","RARE","35","30","Weapon","Dagger","WEAPON",""
"6692","Pronged Reaver","RARE","36","30","Weapon","Axe","WEAPON",""
"6693","Agamaggan's Clutch","RARE","36","27","Armor","Miscellaneous","FINGER",""
"6694","Heart of Agamaggan","RARE","36","27","Armor","Shield","SHIELD",""
"6695","Stygian Bone Amulet","RARE","32","27","Armor","Miscellaneous","NECK",""
"6696","Nightstalker Bow","RARE","32","27","Weapon","Bow","RANGED",""
"6697","Batwing Mantle","RARE","32","27","Armor","Cloth","SHOULDER",""
"6723","Medal of Courage","RARE","45","0","Armor","Miscellaneous","NECK",""
"6725","Marbled Buckler","RARE","36","0","Armor","Shield","SHIELD",""
"6742","Stonefist Girdle","RARE","36","0","Armor","Mail","WAIST",""
"6802","Sword of Omen","RARE","44","0","Weapon","Sword","WEAPON",""
"6803","Prophetic Cane","RARE","44","0","Armor","Miscellaneous","HOLDABLE",""
"6804","Windstorm Hammer","RARE","34","0","Weapon","Mace","WEAPON",""
"6806","Dancing Flame","RARE","40","0","Weapon","Wand","RANGEDRIGHT",""
"6829","Sword of Serenity","RARE","44","0","Weapon","Sword","WEAPON",""
"6830","Bonebiter","RARE","44","0","Weapon","Axe","TWOHWEAPON",""
"6831","Black Menace","RARE","44","0","Weapon","Dagger","WEAPON",""
"6900","Enchanted Gold Bloodrobe","RARE","38","0","Armor","Cloth","ROBE",""
"6901","Glowing Thresher Cape","RARE","29","24","Armor","Cloth","CLOAK",""
"6902","Bands of Serra'kis","RARE","27","22","Armor","Leather","WRIST",""
"6903","Gaze Dreamer Pants","RARE","28","23","Armor","Cloth","LEGS",""
"6904","Bite of Serra'kis","RARE","28","23","Weapon","Dagger","WEAPON",""
"6905","Reef Axe","RARE","27","22","Weapon","Axe","TWOHWEAPON",""
"6906","Algae Fists","RARE","28","23","Armor","Mail","HAND",""
"6907","Tortoise Armor","RARE","25","20","Armor","Mail","CHEST",""
"6908","Ghamoo-ra's Bind","RARE","25","20","Armor","Cloth","WAIST",""
"6909","Strike of the Hydra","RARE","31","24","Weapon","Sword","TWOHWEAPON",""
"6910","Leech Pants","RARE","31","24","Armor","Cloth","LEGS",""
"6911","Moss Cinch","RARE","31","24","Armor","Leather","WAIST",""
"6953","Verigan's Fist","RARE","31","0","Weapon","Mace","TWOHWEAPON",""
"6972","Fire Hardened Hauberk","RARE","30","0","Armor","Mail","CHEST",""
"6975","Whirlwind Axe","RARE","40","0","Weapon","Axe","TWOHWEAPON",""
"6976","Whirlwind Warhammer","RARE","40","0","Weapon","Mace","TWOHWEAPON",""
"6977","Whirlwind Sword","RARE","40","0","Weapon","Sword","TWOHWEAPON",""
"7001","Gravestone Scepter","RARE","29","0","Weapon","Wand","RANGEDRIGHT",""
"7002","Arctic Buckler","RARE","29","0","Armor","Shield","SHIELD",""
"7054","Robe of Power","RARE","38","33","Armor","Cloth","ROBE",""
"7133","Brutal Hauberk","RARE","30","0","Armor","Mail","CHEST",""
"7230","Smite's Mighty Hammer","RARE","23","18","Weapon","Mace","TWOHWEAPON",""
"7513","Ragefire Wand","RARE","40","0","Weapon","Wand","RANGEDRIGHT",""
"7514","Icefury Wand","RARE","40","0","Weapon","Wand","RANGEDRIGHT",""
"7515","Celestial Orb","RARE","40","0","Armor","Miscellaneous","HOLDABLE",""
"7673","Talvash's Enhancing Necklace","RARE","47","0","Armor","Miscellaneous","NECK",""
"7682","Torturing Poker","RARE","34","29","Weapon","Dagger","WEAPON",""
"7683","Bloody Brass Knuckles","RARE","34","29","Weapon","Fist Weapon","WEAPON",""
"7684","Bloodmage Mantle","RARE","35","30","Armor","Cloth","SHOULDER",""
"7685","Orb of the Forgotten Seer","RARE","38","33","Armor","Miscellaneous","HOLDABLE",""
"7686","Ironspine's Eye","RARE","35","30","Armor","Miscellaneous","FINGER",""
"7687","Ironspine's Fist","RARE","35","30","Weapon","Mace","WEAPON",""
"7688","Ironspine's Ribcage","RARE","35","30","Armor","Mail","CHEST",""
"7689","Morbid Dawn","RARE","35","30","Weapon","Sword","TWOHWEAPON",""
"7690","Ebon Vise","RARE","35","30","Armor","Leather","HAND",""
"7691","Embalmed Shroud","RARE","35","30","Armor","Cloth","HEAD",""
"7708","Necrotic Wand","RARE","35","30","Weapon","Wand","RANGEDRIGHT",""
"7709","Blighted Leggings","RARE","35","30","Armor","Cloth","LEGS",""
"7710","Loksey's Training Stick","RARE","36","31","Weapon","Staff","TWOHWEAPON",""
"7711","Robe of Doan","RARE","38","33","Armor","Cloth","ROBE",""
"7712","Mantle of Doan","RARE","38","33","Armor","Cloth","SHOULDER",""
"7713","Illusionary Rod","RARE","39","34","Weapon","Staff","TWOHWEAPON",""
"7714","Hypnotic Blade","RARE","39","34","Weapon","Dagger","WEAPONMAINHAND",""
"7717","Ravager","RARE","42","37","Weapon","Axe","TWOHWEAPON",""
"7718","Herod's Shoulder","RARE","42","37","Armor","Mail","SHOULDER",""
"7719","Raging Berserker's Helm","RARE","42","37","Armor","Mail","HEAD",""
"7720","Whitemane's Chapeau","RARE","44","39","Armor","Cloth","HEAD",""
"7721","Hand of Righteousness","RARE","44","39","Weapon","Mace","WEAPONMAINHAND",""
"7722","Triune Amulet","RARE","44","39","Armor","Miscellaneous","NECK",""
"7723","Mograine's Might","RARE","44","39","Weapon","Mace","TWOHWEAPON",""
"7724","Gauntlets of Divinity","RARE","44","39","Armor","Mail","HAND",""
"7726","Aegis of the Scarlet Commander","RARE","44","39","Armor","Shield","SHIELD",""
"7727","Watchman Pauldrons","RARE","32","27","Armor","Leather","SHOULDER",""
"7728","Beguiler Robes","RARE","34","29","Armor","Cloth","ROBE",""
"7729","Chesterfall Musket","RARE","33","28","Weapon","Gun","RANGEDRIGHT",""
"7730","Cobalt Crusher","RARE","34","29","Weapon","Mace","TWOHWEAPON",""
"7731","Ghostshard Talisman","RARE","35","30","Armor","Miscellaneous","NECK",""
"7734","Six Demon Bag","RARE","51","46","Armor","Miscellaneous","TRINKET",""
"7736","Fight Club","RARE","39","34","Weapon","Mace","WEAPON",""
"7752","Dreamslayer","RARE","33","28","Weapon","Mace","WEAPON",""
"7753","Bloodspiller","RARE","32","27","Weapon","Axe","TWOHWEAPON",""
"7754","Harbinger Boots","RARE","30","25","Armor","Leather","FEET",""
"7755","Flintrock Shoulders","RARE","38","33","Armor","Leather","SHOULDER",""
"7756","Dog Training Gloves","RARE","34","29","Armor","Leather","HAND",""
"7757","Windweaver Staff","RARE","37","32","Weapon","Staff","TWOHWEAPON",""
"7758","Ruthless Shiv","RARE","39","34","Weapon","Polearm","TWOHWEAPON",""
"7759","Archon Chestpiece","RARE","38","33","Armor","Mail","CHEST",""
"7760","Warchief Kilt","RARE","39","34","Armor","Leather","LEGS",""
"7761","Steelclaw Reaver","RARE","38","33","Weapon","Axe","WEAPON",""
"7786","Headsplitter","RARE","30","25","Weapon","Axe","WEAPON",""
"7787","Resplendent Guardian","RARE","31","26","Armor","Shield","SHIELD",""
"7888","Jarkal's Enhancing Necklace","RARE","47","0","Armor","Miscellaneous","NECK",""
"7938","Truesilver Gauntlets","RARE","45","40","Armor","Plate","HAND",""
"7939","Truesilver Breastplate","RARE","49","44","Armor","Plate","CHEST",""
"7954","The Shatterer","RARE","47","42","Weapon","Mace","WEAPONMAINHAND",""
"7959","Blight","RARE","50","45","Weapon","Polearm","TWOHWEAPON",""
"7960","Truesilver Champion","RARE","52","47","Weapon","Sword","TWOHWEAPON",""
"7961","Phantom Blade","RARE","49","44","Weapon","Sword","WEAPONMAINHAND",""
"8006","The Ziggler","RARE","39","34","Weapon","Dagger","WEAPON",""
